,Name,Subs,Identifier,Type,Full_identifier,Nr_featured,Featured
2597,NobelDialogue,3480,NobelWeekDialogue,user,/user/NobelWeekDialogue,2,"['/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ', '/user/thenobelprize']"
2598,NobelPrizeII,11000,NobelPrizeII,user,/user/NobelPrizeII,2,"['/user/thenobelprize', '/user/NobelWeekDialogue']"
2599,FDP,20200,FDP,user,/user/FDP,6,"['/channel/UC2TCluB4jcrJqis5rzGcCbw', '/user/Julis', '/channel/UC64S3hB86F--dufP-3UnWmw', '/user/fdpfraktionhh', '/channel/UCVAPyAqQjiCZJsHZvOrtwsA', '/user/stiftungfreiheit']"
2600,Fraktion der Freien Demokraten,22900,UC2TCluB4jcrJqis5rzGcCbw,channel,/channel/UC2TCluB4jcrJqis5rzGcCbw,1,['/channel/UClgihdkPzNDtuoQy4xDw5mA']
2601,junge liberale,3080,Julis,user,/user/Julis,1,['/user/FDP']
2602,sleephase union,108,UC64S3hB86F--dufP-3UnWmw,channel,/channel/UC64S3hB86F--dufP-3UnWmw,0,[]
2603,fdpfraktionhh,42,fdpfraktionhh,user,/user/fdpfraktionhh,1,['/user/FDP']
2604,Christian Lindner,18800,UCVAPyAqQjiCZJsHZvOrtwsA,channel,/channel/UCVAPyAqQjiCZJsHZvOrtwsA,2,"['/user/FDP', '/channel/UC2TCluB4jcrJqis5rzGcCbw']"
2605,Friedrich-Naumann-Stiftung für die Freiheit,5350,stiftungfreiheit,user,/user/stiftungfreiheit,0,[]
2606,Ruslife,2320,ruslifeeu,user,/user/ruslifeeu,12,"['/user/MyKinoTrailer', '/user/epstik', '/user/Nadezda1231', '/user/leosdogs', '/user/deboshir', '/user/1tvExactly', '/user/bokserorg', '/user/VengaboysChannel', '/user/LindaTeodosiuCom', '/user/tikandelaki', '/user/FCSuperior', '/user/RussianVoiceOver']"
2607,MyKinoTrailer,177,MyKinoTrailer,user,/user/MyKinoTrailer,0,[]
2608,Igor Epstein,219,epstik,user,/user/epstik,2,"['/user/ruslifeeu', '/user/LindaTeodosiuCom']"
2609,МАРИНА ДЕВЯТОВА,89900,Nadezda1231,user,/user/Nadezda1231,0,[]
2610,Leonid Beljakov,94,leosdogs,user,/user/leosdogs,0,[]
2611,MironovComedy,275,deboshir,user,/user/deboshir,1,['/user/guitareimprovisation']
2612,Умные мультфильмы,27100,1tvExactly,user,/user/1tvExactly,0,[]
2613,bokserorg,49300,bokserorg,user,/user/bokserorg,0,[]
2614,Vengaboys,1320000,VengaboysChannel,user,/user/VengaboysChannel,0,[]
2615,Linda Teodosiu,11400,LindaTeodosiuCom,user,/user/LindaTeodosiuCom,0,[]
2616,Тина Канделаки,31200,tikandelaki,user,/user/tikandelaki,0,[]
2617,Superior FC,10900,FCSuperior,user,/user/FCSuperior,0,[]
2618,RussianVoiceOver,188,RussianVoiceOver,user,/user/RussianVoiceOver,0,[]
2619,Jochen Krauß,10,plautzenjotze,user,/user/plautzenjotze,12,"['/user/JPPGmbH', '/channel/UC1VLQPn9cYSqx8plbk9RxxQ', '/user/TheStradman', '/user/petermckinnon24', '/user/raeart2', '/user/sandersinc189', '/channel/UCHYhXiy8KYCuYgz3MvZrptQ', '/user/Guldies', '/user/TheGuardian', '/user/Shmee150', '/channel/UCK_zuVq6ZpSRMjsZ5JRPx5g', '/channel/UCOM2W7YxiXPtKobhrYasZDg']"
2620,The Action Lab,3760000,UC1VLQPn9cYSqx8plbk9RxxQ,channel,/channel/UC1VLQPn9cYSqx8plbk9RxxQ,2,"['/user/Vsauce', '/user/01032010814']"
2621,TheStradman,3500000,TheStradman,user,/user/TheStradman,0,[]
2622,Toy Cars,197000,raeart2,user,/user/raeart2,0,[]
2623,Lane Sanders,64,sandersinc189,user,/user/sandersinc189,0,[]
2624,Sim Mot,1040000,UCHYhXiy8KYCuYgz3MvZrptQ,channel,/channel/UCHYhXiy8KYCuYgz3MvZrptQ,0,[]
2625,Guldies,2140000,Guldies,user,/user/Guldies,2,"['/channel/UC-AQKm7HUNMmxjdS371MSwg', '/user/PewDiePie']"
2626,The Guardian,1800000,TheGuardian,user,/user/TheGuardian,0,[]
2627,Shmee150,2320000,Shmee150,user,/user/Shmee150,1,['/user/JPPGmbH']
2628,Mr JWW,664000,UCK_zuVq6ZpSRMjsZ5JRPx5g,channel,/channel/UCK_zuVq6ZpSRMjsZ5JRPx5g,3,"['/user/petermckinnon24', '/user/marquesbrownlee', '/user/Sepharoth64']"
2629,RC RC RC!!!,2069999,UCOM2W7YxiXPtKobhrYasZDg,channel,/channel/UCOM2W7YxiXPtKobhrYasZDg,0,[]
2630,FIT FOR FUN,39400,fitforfunonline,user,/user/fitforfunonline,12,"['/user/GalileoOffiziell', '/channel/UC1Y7onDsPyfP-lu--SXF-ew', '/channel/UC1YZpLR0PAAIDT3NqA6nuIQ', '/channel/UC2Qw1dzXDBAZPwS7zm37g8g', '/user/EuropeanSlackline', '/user/BUNTEtv', '/channel/UCN_hKvlq5WuakrFDoOA-Ipw', '/channel/UCaKXe9Jf7yYkr7jSMl2SuGw', '/user/athleticcoachseyit', '/user/PamelaRf1', '/user/keiiner123', '/user/BodyKiss88']"
2631,HIIT Together – Abnehmen mit Spaß & Leichtigkeit,6700,UC1YZpLR0PAAIDT3NqA6nuIQ,channel,/channel/UC1YZpLR0PAAIDT3NqA6nuIQ,0,[]
2632,EuropeanSlackline,190,EuropeanSlackline,user,/user/EuropeanSlackline,0,[]
2633,Kaya Renz,18900,UCN_hKvlq5WuakrFDoOA-Ipw,channel,/channel/UCN_hKvlq5WuakrFDoOA-Ipw,0,[]
2634,Fräulein Immersatt,14,UCaKXe9Jf7yYkr7jSMl2SuGw,channel,/channel/UCaKXe9Jf7yYkr7jSMl2SuGw,0,[]
2635,Coach Seyit,18500,athleticcoachseyit,user,/user/athleticcoachseyit,0,[]
2636,Pamela Reif,8130000,PamelaRf1,user,/user/PamelaRf1,0,[]
2637,Sascha Huber,1420000,keiiner123,user,/user/keiiner123,0,[]
2638,BurdaForward Official,431,UCGB1NeDSZEc4FxK3hABVkGA,channel,/channel/UCGB1NeDSZEc4FxK3hABVkGA,0,[]
